geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
AA20025	25.2660453993666	25.2660453993666	-80.8375631225447	-80.8375631225447
AA20003	25.265556126282	25.265556126282	-80.8062802712047	-80.8062802712047
AA20046	25.2696146804968	25.2696146804968	-80.8023011918153	-80.8023011918153
AA20012	25.2791136544093	25.2791136544093	-80.8151978809106	-80.8151978809106
AA20169	25.2800185831595	25.2800185831595	-80.8166863768923	-80.8166863768923
AA20223	25.2800369049372	25.2800369049372	-80.8320816470505	-80.8320816470505
AA20044	25.272813458311	25.272813458311	-80.8330847748208	-80.8330847748208
AA20125	25.2732732304774	25.2732732304774	-80.8405330736113	-80.8405330736113
AA20007	25.2787150407524	25.2787150407524	-80.8638669862877	-80.8638669862877
AA20016	25.2908965174864	25.2908965174864	-80.8534233763146	-80.8534233763146
AA20163	25.3021863675506	25.3021863675506	-80.8548999396137	-80.8548999396137
AA20181	25.2922306044301	25.2922306044301	-80.8340515459597	-80.8340515459597
AA20121	25.2976003406289	25.2976003406289	-80.7953021143198	-80.7953021143198
AA20154	25.3003122859356	25.3003122859356	-80.7972843779847	-80.7972843779847
AA20256	25.2975926566522	25.2975926566522	-80.7898384995702	-80.7898384995702
AA20247	25.2885268855772	25.2885268855772	-80.766511285966	-80.766511285966
AA20249	25.2745686280762	25.2745686280762	-80.7928577705509	-80.7928577705509
AA20255	25.2763523563284	25.2763523563284	-80.7774599325306	-80.7774599325306
AA20196	25.2790076322453	25.2790076322453	-80.7441817475685	-80.7441817475685
AA20151	25.2641078846774	25.2641078846774	-80.7447095357943	-80.7447095357943
AA20136	25.2618467665775	25.2618467665775	-80.7427280768739	-80.7427280768739
AA20130	25.2610009198306	25.2610009198306	-80.7779844659328	-80.7779844659328
AA20161	25.2582990896458	25.2582990896458	-80.7829547108389	-80.7829547108389
AA20165	25.2556143951023	25.2556143951023	-80.8003377712292	-80.8003377712292
AA20091	25.2510626283844	25.2510626283844	-80.775023510807	-80.775023510807
AA20141	25.2492511500495	25.2492511500495	-80.7715513731293	-80.7715513731293
AA20052	25.2438006724521	25.2438006724521	-80.7517026099685	-80.7517026099685
AA20167	25.2383678200676	25.2383678200676	-80.7432739736284	-80.7432739736284
AA20178	25.2370175055419	25.2370175055419	-80.7457590394546	-80.7457590394546
AA20053	25.2406634191495	25.2406634191495	-80.7661063553175	-80.7661063553175
AA20093	25.243378871196	25.243378871196	-80.7700729361377	-80.7700729361377
AA20079	25.2879768317292	25.2879768317292	-80.7108872015149	-80.7108872015149
AA20128	25.286632841957	25.286632841957	-80.7163535036193	-80.7163535036193
AA20075	25.2789432742635	25.2789432742635	-80.7094187673898	-80.7094187673898
AA20123	25.2757805922586	25.2757805922586	-80.7084330949535	-80.7084330949535
AA20028	25.2771694266595	25.2771694266595	-80.7263076804916	-80.7263076804916
AA20226	25.279438021809	25.279438021809	-80.7322620071632	-80.7322620071632
AA20070	25.2821472171122	25.2821472171122	-80.7322560607395	-80.7322560607395
AA20036	25.2835107428086	25.2835107428086	-80.7372194149892	-80.7372194149892
AA20031	25.2889344097118	25.2889344097118	-80.7401876695467	-80.7401876695467
AA20234	25.2902846121037	25.2902846121037	-80.7377014804119	-80.7377014804119
AA20201	25.2789989396125	25.2789989396125	-80.7392156003457	-80.7392156003457
AA20068	25.2704109529149	25.2704109529149	-80.7342681400058	-80.7342681400058
AA20191	25.2667615960841	25.2667615960841	-80.7144134336359	-80.7144134336359
AA20004	25.2676279725378	25.2676279725378	-80.6960383427691	-80.6960383427691
AA20183	25.2599710450957	25.2599710450957	-80.7054916296704	-80.7054916296704
AA20034	25.248228206165	25.248228206165	-80.7040304741141	-80.7040304741141
AA20204	25.2445987861013	25.2445987861013	-80.6955991829438	-80.6955991829438
AA20159	25.2414390743412	25.2414390743412	-80.6961035167789	-80.6961035167789
AA20132	25.2428048087254	25.2428048087254	-80.7015612702362	-80.7015612702362
AA20149	25.1643994600504	25.1643994600504	-80.7975096216198	-80.7975096216198
AA20303	25.1661874207799	25.1661874207799	-80.7846065144226	-80.7846065144226
AA20304	25.1666301799277	25.1666301799277	-80.7786517999489	-80.7786517999489
AA20180	25.1756632151472	25.1756632151472	-80.7801240832357	-80.7801240832357
AA20306	25.1820033891854	25.1820033891854	-80.793014524408	-80.793014524408
AA20135	25.1733865656262	25.1733865656262	-80.7677234528793	-80.7677234528793
AA20189	25.1629948511593	25.1629948511593	-80.7637739681258	-80.7637739681258
AA20147	25.1760633269096	25.1760633269096	-80.7478704187182	-80.7478704187182
AA20098	25.1683863054397	25.1683863054397	-80.7473900403597	-80.7473900403597
AA20302	25.1457902636677	25.1457902636677	-80.7365228912192	-80.7365228912192
AA20032	25.1493999355037	25.1493999355037	-80.735026869498	-80.735026869498
AA20011	25.1507483041172	25.1507483041172	-80.7315512857607	-80.7315512857607
AA20106	25.1556922446002	25.1556922446002	-80.7191375732812	-80.7191375732812
AA20023	25.1678508371596	25.1678508371596	-80.7022401320476	-80.7022401320476
AA20086	25.1710145912171	25.1710145912171	-80.7037209796416	-80.7037209796416
AA20231	25.1950159548416	25.1950159548416	-80.7408835541392	-80.7408835541392
AA20131	25.1955220008261	25.1955220008261	-80.7741330993506	-80.7741330993506
AA20122	25.1892072000797	25.1892072000797	-80.7786110191273	-80.7786110191273
AA20042	25.2172142922402	25.2172142922402	-80.7865022234503	-80.7865022234503
AA20139	25.2276018085334	25.2276018085334	-80.7879733161873	-80.7879733161873
AA20188	25.2370980092518	25.2370980092518	-80.7978857920913	-80.7978857920913
AA20072	25.2398065528266	25.2398065528266	-80.7973848544495	-80.7973848544495
AA20115	25.2312010172713	25.2312010172713	-80.7790314575565	-80.7790314575565
AA20105	25.2189809122698	25.2189809122698	-80.7606877258993	-80.7606877258993
AA20022	25.2158169231256	25.2158169231256	-80.7587084744583	-80.7587084744583
AA20150	25.2076802355469	25.2076802355469	-80.7532649203697	-80.7532649203697
AA20094	25.2207672938246	25.2207672938246	-80.7487711067943	-80.7487711067943
AA20232	25.2135139626427	25.2135139626427	-80.7324064387751	-80.7324064387751
AA20073	25.2008413412446	25.2008413412446	-80.7165525898486	-80.7165525898486
AA20013	25.2008365647249	25.2008365647249	-80.7140711093188	-80.7140711093188
AA20152	25.2039657611402	25.2039657611402	-80.6981818565258	-80.6981818565258
AA20246	25.2233948179468	25.2233948179468	-80.7045869886184	-80.7045869886184
AA20096	25.2243278437407	25.2243278437407	-80.7199729341801	-80.7199729341801
AA20264	25.2256917722326	25.2256917722326	-80.7249338044237	-80.7249338044237
AA20019	25.2216297943664	25.2216297943664	-80.725935706036	-80.725935706036
AA20099	25.2198227293019	25.2198227293019	-80.7254433793691	-80.7254433793691
AA20158	25.2189260697749	25.2189260697749	-80.7289199959962	-80.7289199959962
AA20014	25.2198390544389	25.2198390544389	-80.7343781068644	-80.7343781068644
AA20063	25.2361023112174	25.2361023112174	-80.7388107532983	-80.7388107532983
AA20229	25.2428700437515	25.2428700437515	-80.735817471994	-80.735817471994
AA20236	25.2541412306578	25.2541412306578	-80.7263593084118	-80.7263593084118
AA20221	25.2518789399079	25.2518789399079	-80.7238818479476	-80.7238818479476
AA20103	25.2450946704639	25.2450946704639	-80.7179394445273	-80.7179394445273
AA20156	25.2378653604071	25.2378653604071	-80.7154738874863	-80.7154738874863
AA20119	25.2310846397096	25.2310846397096	-80.7115183020329	-80.7115183020329
AA20252	25.2351317327362	25.2351317327362	-80.703069318112	-80.703069318112
AA20066	25.1131765353006	25.1131765353006	-80.6840228194196	-80.6840228194196
AA20219	25.144274361913	25.144274361913	-80.6576512036255	-80.6576512036255
AA20134	25.1727603414234	25.1727603414234	-80.6749380983237	-80.6749380983237
AA20090	25.1727891557211	25.1727891557211	-80.688334982135	-80.688334982135
AA20199	25.1777476522986	25.1777476522986	-80.6843527419921	-80.6843527419921
AA20039	25.1835862317266	25.1835862317266	-80.6699471105144	-80.6699471105144
AA20029	25.1894928762094	25.1894928762094	-80.6868037391592	-80.6868037391592
AA20157	25.1948932060286	25.1948932060286	-80.678353283254	-80.678353283254
AA20117	25.2034946798459	25.2034946798459	-80.6887531571564	-80.6887531571564
AA20215	25.2057554835785	25.2057554835785	-80.6902363609479	-80.6902363609479
AA20082	25.2088886336614	25.2088886336614	-80.6773238497157	-80.6773238497157
AA20001	25.2048094963761	25.2048094963761	-80.6703862190597	-80.6703862190597
AA20175	25.2020868951292	25.2020868951292	-80.6644379266477	-80.6644379266477
AA20242	25.1971109537778	25.1971109537778	-80.6604813114483	-80.6604813114483
AA20113	25.2119658590616	25.2119658590616	-80.6410827883248	-80.6410827883248
AA20129	25.233593636388	25.233593636388	-80.6226514550826	-80.6226514550826
AA20313	25.2295725275779	25.2295725275779	-80.6385408168378	-80.6385408168378
AA20311	25.23049287362	25.23049287362	-80.6544066453319	-80.6544066453319
AA20248	25.2246658384093	25.2246658384093	-80.6653687848991	-80.6653687848991
AA20140	25.2404894574327	25.2404894574327	-80.674261710268	-80.674261710268
AA20097	25.2414087554154	25.2414087554154	-80.6817061880013	-80.6817061880013
AA20126	25.2495277294461	25.2495277294461	-80.6777130766342	-80.6777130766342
AA20076	25.24590014177	25.24590014177	-80.6707719263309	-80.6707719263309
AA20155	25.250396404663	25.250396404663	-80.6623193420631	-80.6623193420631
AA20259	25.2571648182793	25.2571648182793	-80.6603145261026	-80.6603145261026
AA20257	25.2594657542629	25.2594657542629	-80.6796729910367	-80.6796729910367
AA20069	25.2671428662434	25.2671428662434	-80.6801494127932	-80.6801494127932
AA20244	25.2680318000098	25.2680318000098	-80.6736916721618	-80.6736916721618
AA20100	25.2843190978241	25.2843190978241	-80.6885472045711	-80.6885472045711
AA20240	25.2915414829506	25.2915414829506	-80.6875354251931	-80.6875354251931
AA20213	25.287454166071	25.287454166071	-80.6766196141532	-80.6766196141532
AA20108	25.2824596043023	25.2824596043023	-80.6642171419817	-80.6642171419817
AA20166	25.2765702680167	25.2765702680167	-80.655791079325	-80.655791079325
AA20170	25.2837409065277	25.2837409065277	-80.633422361768	-80.633422361768
AA20177	25.2729321485892	25.2729321485892	-80.6448763808027	-80.6448763808027
AA20235	25.2679349388965	25.2679349388965	-80.63247671125	-80.63247671125
AA20214	25.2643202307668	25.2643202307668	-80.6314944877327	-80.6314944877327
AA20038	25.2588868891247	25.2588868891247	-80.625552511965	-80.625552511965
AA20262	25.2611369485807	25.2611369485807	-80.6225663699056	-80.6225663699056
AA20018	25.2710642064658	25.2710642064658	-80.6200527697622	-80.6200527697622
AA20190	25.2796559398267	25.2796559398267	-80.6249921695794	-80.6249921695794
AA20083	25.2877552571023	25.2877552571023	-80.6140410005422	-80.6140410005422
AA20027	25.2841469316247	25.2841469316247	-80.615542320678	-80.615542320678
AA20033	25.2719569827025	25.2719569827025	-80.6160773177091	-80.6160773177091
AA20241	25.2737553131566	25.2737553131566	-80.6130921122442	-80.6130921122442
AA20206	25.2629094938615	25.2629094938615	-80.6096506636065	-80.6096506636065
